dataset,file,sp_x,sp_y,sp_z,dim_x,dim_y,dim_z
CTPelvic1K_dataset6_data,dataset6_CLINIC_0001_data.nii.gz,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0002_data.nii.gz,0.78125,0.78125,0.79998779296875,512,512,307
CTPelvic1K_dataset6_data,dataset6_CLINIC_0003_data.nii.gz,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0004_data.nii.gz,0.771484375,0.771484375,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0005_data.nii.gz,0.78125,0.78125,0.800048828125,512,512,329
CTPelvic1K_dataset6_data,dataset6_CLINIC_0006_data.nii.gz,0.9760000109672546,0.9760000109672546,0.800048828125,512,512,326
CTPelvic1K_dataset6_data,dataset6_CLINIC_0007_data.nii.gz,0.8119999766349792,0.8119999766349792,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0008_data.nii.gz,0.9610000252723694,0.9610000252723694,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0009_data.nii.gz,0.8159999847412109,0.8159999847412109,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0010_data.nii.gz,0.9039999842643738,0.9039999842643738,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0011_data.nii.gz,0.7889999747276306,0.7889999747276306,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0012_data.nii.gz,0.9760000109672546,0.9760000109672546,0.7989501953125,512,512,313
CTPelvic1K_dataset6_data,dataset6_CLINIC_0013_data.nii.gz,0.9760000109672546,0.9760000109672546,0.800048828125,512,512,326
CTPelvic1K_dataset6_data,dataset6_CLINIC_0014_data.nii.gz,0.7820000052452087,0.7820000052452087,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0015_data.nii.gz,0.9760000109672546,0.9760000109672546,0.7989501953125,512,512,313
CTPelvic1K_dataset6_data,dataset6_CLINIC_0016_data.nii.gz,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0017_data.nii.gz,0.9459999799728394,0.9459999799728394,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0018_data.nii.gz,0.9760000109672546,0.9760000109672546,0.801025390625,512,512,376
CTPelvic1K_dataset6_data,dataset6_CLINIC_0019_data.nii.gz,0.78125,0.78125,0.7999267578125,512,512,383
CTPelvic1K_dataset6_data,dataset6_CLINIC_0020_data.nii.gz,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0021_data.nii.gz,0.7239999771118164,0.7239999771118164,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0022_data.nii.gz,0.7820000052452087,0.7820000052452087,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0023_data.nii.gz,0.953000009059906,0.953000009059906,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0024_data.nii.gz,0.8619999885559082,0.8619999885559082,0.800048828125,512,512,357
CTPelvic1K_dataset6_data,dataset6_CLINIC_0025_data.nii.gz,0.83203125,0.83203125,0.79998779296875,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0026_data.nii.gz,0.8500000238418579,0.8500000238418579,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0027_data.nii.gz,0.8429999947547913,0.8429999947547913,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0028_data.nii.gz,0.8579999804496765,0.8579999804496765,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0029_data.nii.gz,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0030_data.nii.gz,0.9110000133514404,0.9110000133514404,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0031_data.nii.gz,0.8349999785423279,0.8349999785423279,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0032_data.nii.gz,0.6919999718666077,0.6919999718666077,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0033_data.nii.gz,0.8828125,0.8828125,0.79998779296875,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0034_data.nii.gz,0.8080000281333923,0.8080000281333923,0.7999267578125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0035_data.nii.gz,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0036_data.nii.gz,0.68359375,0.68359375,0.79998779296875,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0037_data.nii.gz,0.8460000157356262,0.8460000157356262,0.800048828125,512,512,319
CTPelvic1K_dataset6_data,dataset6_CLINIC_0038_data.nii.gz,0.8960000276565552,0.8960000276565552,0.7989501953125,512,512,331
CTPelvic1K_dataset6_data,dataset6_CLINIC_0039_data.nii.gz,1.128999948501587,1.128999948501587,0.7999267578125,512,512,388
CTPelvic1K_dataset6_data,dataset6_CLINIC_0040_data.nii.gz,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0041_data.nii.gz,0.748046875,0.748046875,0.79998779296875,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0042_data.nii.gz,0.7820000052452087,0.7820000052452087,0.801025390625,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0043_data.nii.gz,0.9760000109672546,0.9760000109672546,0.801025390625,512,512,369
CTPelvic1K_dataset6_data,dataset6_CLINIC_0044_data.nii.gz,0.7400000095367432,0.7400000095367432,0.7999267578125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0045_data.nii.gz,0.6620000004768372,0.6620000004768372,0.800048828125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0046_data.nii.gz,0.9760000109672546,0.9760000109672546,0.800048828125,512,512,332
CTPelvic1K_dataset6_data,dataset6_CLINIC_0047_data.nii.gz,0.8659999966621399,0.8659999966621399,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0048_data.nii.gz,0.8579999804496765,0.8579999804496765,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0049_data.nii.gz,0.9760000109672546,0.9760000109672546,0.801025390625,512,512,301
CTPelvic1K_dataset6_data,dataset6_CLINIC_0050_data.nii.gz,0.9039999842643738,0.9039999842643738,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0051_data.nii.gz,0.8389999866485596,0.8389999866485596,0.800048828125,512,512,357
CTPelvic1K_dataset6_data,dataset6_CLINIC_0052_data.nii.gz,0.78125,0.78125,0.79998779296875,512,512,341
CTPelvic1K_dataset6_data,dataset6_CLINIC_0053_data.nii.gz,0.8730000257492065,0.8730000257492065,0.7999267578125,512,512,338
CTPelvic1K_dataset6_data,dataset6_CLINIC_0054_data.nii.gz,0.7820000052452087,0.7820000052452087,0.7989501953125,512,512,350
CTPelvic1K_dataset6_data,dataset6_CLINIC_0055_data.nii.gz,0.9760000109672546,0.9760000109672546,0.7989501953125,512,512,350
